node_id,name,degree,degree_centrality,closeness,betweenness,pagerank
Rockman_(character),Rockman (character),2,0.007246376811594203,0.3161512027491409,0.007246376811594203,0.0005300214031699635
Black_Cat_(Marvel_Comics),Black Cat (Marvel Comics),28,0.10144927536231885,0.45024469820554647,0.007148938280803568,0.017605551735771423
Brian_Braddock,Brian Braddock,11,0.03985507246376812,0.42073170731707316,0.006766386333664816,0.0006650657704849535
Robbie_Baldwin,Robbie Baldwin,15,0.05434782608695652,0.4416,0.0064702399557294505,0.002562836415645855
Bill_Foster_(character),Bill Foster (character),17,0.06159420289855073,0.4444444444444444,0.006163821532951749,0.004954115731926111
Misty_Knight,Misty Knight,21,0.07608695652173914,0.43740095087163233,0.0060210997255721955,0.007276252709264715
Anya_Corazon,Anya Corazon,16,0.057971014492753624,0.4017467248908297,0.005810076769810651,0.0042972308730814006
Spider-Woman_(Gwen_Stacy),Spider-Woman (Gwen Stacy),18,0.06521739130434782,0.40588235294117647,0.00559454441050461,0.010338985200128001
Union_Jack_(Marvel_Comics),Union Jack (Marvel Comics),8,0.028985507246376812,0.350253807106599,0.005406870241694389,0.0036794086767443107
Garrison_Kane,Garrison Kane,7,0.025362318840579712,0.3791208791208791,0.0053791877071823375,0.0007785540018989366
Ikaris,Ikaris,5,0.018115942028985508,0.35159235668789807,0.005315441206878625,0.001114923295273683
Tarantula_(Marvel_Comics),Tarantula (Marvel Comics),13,0.04710144927536232,0.40588235294117647,0.004774771052617009,0.0023276254591909464
Bucky_(Marvel_Comics),Bucky (Marvel Comics),12,0.043478260869565216,0.3589076723016905,0.004704911391915597,0.003917322657463471
Mayday_Parker,Mayday Parker,18,0.06521739130434782,0.4175491679273828,0.004660898329696284,0.014294013379939324
Northstar_(character),Northstar (character),17,0.06159420289855073,0.4175491679273828,0.00463895378575525,0.001769974480910937
Machine_Man,Machine Man,14,0.050724637681159424,0.43670886075949367,0.004624848295052044,0.002520104134434009
Moondragon,Moondragon,15,0.05434782608695652,0.3909348441926346,0.004570352930664159,0.004230422744956561
Blazing_Skull,Blazing Skull,8,0.028985507246376812,0.375,0.004506232138324672,0.001443921577637104
Ghost_Rider_(Johnny_Blaze),Ghost Rider (Johnny Blaze),15,0.05434782608695652,0.43260188087774293,0.004458833582067069,0.004355880505890899
Red_Wolf_(comics),Red Wolf (comics),9,0.03260869565217391,0.39598278335724535,0.004439789789272259,0.0011420713093387989
Hyperion_(character),Hyperion (character),10,0.036231884057971016,0.3812154696132597,0.004427166886988874,0.003972023724659192
Jessica_Jones,Jessica Jones,18,0.06521739130434782,0.4458804523424879,0.004279117151630502,0.0042500846762471975
Vance_Astrovik,Vance Astrovik,11,0.03985507246376812,0.37551020408163266,0.004184069688164738,0.0012424244457530705
Morbius,Morbius,19,0.06884057971014493,0.4495114006514658,0.004145977038869023,0.004567207674791622
Sabra_(character),Sabra (character),10,0.036231884057971016,0.42201834862385323,0.004136403672644219,0.0011005782435979002
Elsa_Bloodstone,Elsa Bloodstone,15,0.05434782608695652,0.40828402366863903,0.00404782077141716,0.002039504590629859
Firebird_(Marvel_Comics),Firebird (Marvel Comics),13,0.04710144927536232,0.416289592760181,0.00399676653739389,0.0015443736614817543
Karnak_(character),Karnak (character),10,0.036231884057971016,0.39598278335724535,0.003933526129972923,0.0015371762733808192
Gwenpool,Gwenpool,15,0.05434782608695652,0.4437299035369775,0.003896882530202447,0.00454155684085134
William_Burnside_(character),William Burnside (character),5,0.018115942028985508,0.3881856540084388,0.0038796502535821706,0.0017612098212628764
Union_Jack_(Joseph_Chapman),Union Jack (Joseph Chapman),7,0.025362318840579712,0.33658536585365856,0.0037741093110523123,0.002653893492303776
Doctor_Druid,Doctor Druid,9,0.03260869565217391,0.39316239316239315,0.0037088060840058936,0.0015522964746402042
Stingray_(Marvel_Comics),Stingray (Marvel Comics),8,0.028985507246376812,0.39655172413793105,0.0035536623845748507,0.0006426509354145066
Frankenstein's_Monster_(Marvel_Comics),Frankenstein's Monster (Marvel Comics),11,0.03985507246376812,0.40828402366863903,0.0035354617412791506,0.001305437165444943
Makkari_(character),Makkari (character),6,0.021739130434782608,0.32018561484918795,0.0034041723753930257,0.002633413921656424
Sentry_(Robert_Reynolds),Sentry (Robert Reynolds),12,0.043478260869565216,0.4265842349304482,0.003383995630888037,0.004972671587022414
