node_id,giant_after,giant_fraction_remaining,component_count_after,nodes_outside_giant,fragmentation_score,name,degree,betweenness,closeness,pagerank,null_betweenness_mean,null_betweenness_sd,betweenness_z,betweenness_rank,fragmentation_rank
Blazing_Skull,276,1.0,1,0,0.0,Blazing Skull,8,0.004506232138324672,0.375,0.001443921577637104,0.0023387031099022775,0.002358009884684753,0.9192196531916471,76,38
Blue_Bullet,276,1.0,1,0,0.0,Blue Bullet,3,0.0001106207375659936,0.31186440677966104,0.0013532681092863772,0.000197240646022142,0.00024871914723043753,-0.34826393311768367,215,39
Blue_Diamond_(character),276,1.0,1,0,0.0,Blue Diamond (character),9,0.0031443899280369633,0.336996336996337,0.0006012767238342255,0.0026670517686226986,0.002200068636844734,0.21696512164222628,97,40
Blue_Eagle_(character),276,1.0,1,0,0.0,Blue Eagle (character),1,0.0,0.31542857142857145,0.0005300214031699635,0.0,0.0,0.0,244,41
Blue_Marvel,276,1.0,1,0,0.0,Blue Marvel,5,0.00031830974612678125,0.3709677419354839,0.001350840497661601,0.0009635300741136746,0.0015611664579180836,-0.41329374245417516,187,42
"Bob,_Agent_of_Hydra",276,1.0,1,0,0.0,"Bob, Agent of Hydra",7,0.0015803709106315131,0.42724458204334365,0.0017896717876682428,0.0014571910582381938,0.001485825751227,0.08290329622541334,133,43
Box_(comics),276,1.0,1,0,0.0,Box (comics),3,5.910031996988519e-05,0.27906976744186046,0.0006403155249016595,0.00026599899980608014,0.0007831648631385146,-0.2641827916117858,225,44
Brian_Braddock,276,1.0,1,0,0.0,Brian Braddock,11,0.006766386333664816,0.42073170731707316,0.0006650657704849535,0.004084022862413878,0.0028850426916957935,0.9297482768528037,61,45
Bucky_(Marvel_Comics),276,1.0,1,0,0.0,Bucky (Marvel Comics),12,0.004704911391915597,0.3589076723016905,0.003917322657463471,0.004242624729704477,0.0022757681353471515,0.20313434177713446,71,46
Bug_(Marvel_Comics),276,1.0,1,0,0.0,Bug (Marvel Comics),4,0.00015500143870737342,0.33093525179856115,0.0009981979459619565,0.0005301332946938932,0.0010779143043504248,-0.3480164002578875,208,47
Cable_(character),276,1.0,1,0,0.0,Cable (character),24,0.021911164658837492,0.43260188087774293,0.011572247313429651,0.01538602901088346,0.004065157741133602,1.6051371345148455,14,48
Cammi_(character),276,1.0,1,0,0.0,Cammi (character),4,0.0001531157699078138,0.3187066974595843,0.00171480693208809,0.0005718641030659678,0.0011173043649766365,-0.37478447796712067,209,49
Captain_Marvel_(Khn'nr),276,1.0,1,0,0.0,Captain Marvel (Khn'nr),3,1.1617475385591327e-05,0.323943661971831,0.0012999131861735512,0.00035515738605864077,0.0010507330456526326,-0.3269526090327439,240,50
